Universe,Display
allvotersnoharddem,No Hard Dem
allvotersnohardgop,No Hard GOP
engagement_high,Engagement High
engagement_mid,Engagement Mid
engagement_low,Engagement Low
engagementcontact,Engagement Contact
engagementcurrentevents,Engagement Current Events
ideologyfiscalcons,Ideology Fiscal Conservative
ideologyfiscalprog,Ideology Fiscal Progressive
likelytogivepii,Likely Give PII
likelyvotersdemocrat,Likely Democrat Voter
likelyvotersrepublican,Likely Republican Voter
partydemocrat,Democrat
partyrepublican,Republican
persuasion,Persuasion
socialmediaheavyuser,Social Media Heavy User
socialmediauserfacebook,Facebook User
socialmediauserinstagram,Instagram User
socialmediauserx,X User
socialmediauseryoutube,Youtube User
taxstadiumsupport,Support Stadium Tax
turnouthigh,High Turnout
